"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1337","User can add 3 products and checkout successfully","chromium","Sun Mar 15 13:50:33 UTC 2026","passed","Sun Mar 15 13:50:34 UTC 2026","Checkout Feature","","",""
"","605","Login failed with wrong password","chromium","Sun Mar 15 13:50:34 UTC 2026","passed","Sun Mar 15 13:50:35 UTC 2026","Login Feature","","",""
"","4","Login success with valid credential","webkit","Sun Mar 15 13:50:42 UTC 2026","failed","Sun Mar 15 13:50:42 UTC 2026","Login Feature","","",""
"","570","Login failed with wrong username","chromium","Sun Mar 15 13:50:35 UTC 2026","passed","Sun Mar 15 13:50:35 UTC 2026","Login Feature","","",""
"","731","Login failed with wrong username","firefox","Sun Mar 15 13:50:41 UTC 2026","passed","Sun Mar 15 13:50:41 UTC 2026","Login Feature","","",""
"","486","Login failed without username and password","chromium","Sun Mar 15 13:50:35 UTC 2026","passed","Sun Mar 15 13:50:36 UTC 2026","Login Feature","","",""
"","5","User can add 3 products and checkout successfully","webkit","Sun Mar 15 13:50:41 UTC 2026","failed","Sun Mar 15 13:50:41 UTC 2026","Checkout Feature","","",""
"","3","Login failed with wrong username","webkit","Sun Mar 15 13:50:44 UTC 2026","failed","Sun Mar 15 13:50:44 UTC 2026","Login Feature","","",""
"","2665","Login success with valid credential","firefox","Sun Mar 15 13:50:37 UTC 2026","passed","Sun Mar 15 13:50:39 UTC 2026","Login Feature","","",""
"","913","Login failed with wrong password","firefox","Sun Mar 15 13:50:40 UTC 2026","passed","Sun Mar 15 13:50:41 UTC 2026","Login Feature","","",""
"","3","Login failed without username and password","webkit","Sun Mar 15 13:50:45 UTC 2026","failed","Sun Mar 15 13:50:45 UTC 2026","Login Feature","","",""
"","3088","User can add 3 products and checkout successfully","firefox","Sun Mar 15 13:50:35 UTC 2026","passed","Sun Mar 15 13:50:38 UTC 2026","Checkout Feature","","",""
"","996","Login success with valid credential","chromium","Sun Mar 15 13:50:33 UTC 2026","passed","Sun Mar 15 13:50:34 UTC 2026","Login Feature","","",""
"","3","Login failed with wrong password","webkit","Sun Mar 15 13:50:43 UTC 2026","failed","Sun Mar 15 13:50:43 UTC 2026","Login Feature","","",""
"","757","Login failed without username and password","firefox","Sun Mar 15 13:50:41 UTC 2026","passed","Sun Mar 15 13:50:42 UTC 2026","Login Feature","","",""
